col,source_file,miss_overall,miss_given_no_identity,miss_given_identity,phi_vs_no_identity,verdict
id_12,identity,0.7557608290716971,1.0,0.0,1.0,largely redundant with join
id_02,identity,0.7614522301622244,1.0,0.0233025729202055,0.984579705544974,largely redundant with join
DeviceType,identity,0.7615572188166763,1.0,0.023732432938370553,0.9842951624087819,largely redundant with join
id_31,identity,0.7624513157449114,1.0,0.027393176318872933,0.9818717986258922,largely redundant with join
R_emaildomain,transaction,0.7675161716395164,0.986090292108347,0.09117192320758773,0.9102131982874659,largely redundant with join
D9,transaction,0.8731229044603245,1.0,0.4805211012736336,0.6705612520760685,partly explained by join
D8,transaction,0.8731229044603245,1.0,0.4805211012736336,0.6705612520760685,partly explained by join
D14,transaction,0.8946946862193924,0.9999507065764149,0.5689959995285406,0.6032105161515168,partly explained by join
D13,transaction,0.8950926270870728,0.9999641502373926,0.5705837083053116,0.6020119482409038,partly explained by join
D6,transaction,0.8760676668811597,0.986973092512553,0.5328877580026762,0.5920742654565575,partly explained by join
D12,transaction,0.8904104717715988,0.9869865361735308,0.5915705837083053,0.5438440432949886,partly explained by join
dist2,transaction,0.9362837403054831,0.9999238192544594,0.7393592312438901,0.4583385252616735,partly explained by join
D7,transaction,0.9340992989467267,0.9937778255774613,0.7494332087663711,0.4231175925742127,weakly related
P_emaildomain,transaction,0.1599485216920107,0.1816350628603181,0.09284283069755188,0.104071486153372,independent
card2,transaction,0.015126833068039422,0.017994340218728363,0.006253769941691569,0.04132614362381483,independent
card5,transaction,0.007212043214684865,0.007400735368255484,0.00662816415106113,0.0039226626629120225,independent
M4,transaction,0.47658753005723575,0.4437349178928406,0.5782449231451887,-0.11570738206265395,independent
dist1,transaction,0.596523520845328,0.4661320570817845,1.0,-0.4675314109156294,inverse (missing when join succeeds)
M5,transaction,0.5934940901547736,0.46212360550024983,1.0,-0.4704794965830103,inverse (missing when join succeeds)
M7,transaction,0.5863531682866528,0.4526749524430493,1.0,-0.477475049259683,inverse (missing when join succeeds)
M8,transaction,0.5863311545365258,0.4526458245109308,1.0,-0.4774967179264881,inverse (missing when join succeeds)
M9,transaction,0.5863311545365258,0.4526458245109308,1.0,-0.4774967179264881,inverse (missing when join succeeds)
addr1,transaction,0.1112642666034477,0.011783368847004417,0.41909271803262776,-0.5564934420581273,inverse (missing when join succeeds)
M1,transaction,0.4590713584177194,0.28425948954419267,1.0,-0.6170855245530863,inverse (missing when join succeeds)
M6,transaction,0.28678836319300977,0.0562998115646853,1.0,-0.896486836007012,inverse (missing when join succeeds)
