bin,n,mean_pred,observed,gap
0,11811,1.3634068401408688e-07,0.0011853357040047413,-0.001185199363320727
1,11811,8.334929241186702e-07,0.0033866734400135466,-0.003385839947089428
2,11811,2.998021131538722e-06,0.003556007112014224,-0.0035530090908826857
3,11810,8.918847958997484e-06,0.006011854360711262,-0.006002935512752264
4,11811,2.3572885383384135e-05,0.01024468715604098,-0.010221114270657595
5,11811,6.025313686107878e-05,0.010922021844043688,-0.010861768707182608
6,11810,0.00016671392135508514,0.013463166807790009,-0.013296452886434924
7,11811,0.0005430791351691691,0.021251375836085006,-0.020708296700915837
8,11811,0.0028026569205703055,0.038862077724155446,-0.03605942080358514
9,11811,0.24648569620459534,0.23520447040894082,0.01128122579565452
