bin,n,mean_pred,observed,gap
0,11811,1.2905014989651052e-07,0.002032004064008128,-0.0020318750138582312
1,11811,7.723091375402664e-07,0.0031326729320125305,-0.0031319006228749903
2,11811,2.7788653308859613e-06,0.0055880111760223524,-0.005585232310691466
3,11810,8.2258392234542e-06,0.0071972904318374255,-0.007189064592613971
4,11811,2.2189737996275687e-05,0.007958682584031835,-0.00793649284603556
5,11811,5.937049883648687e-05,0.011260689188045042,-0.011201318689208555
6,11810,0.00016139273532534925,0.012362404741744284,-0.012201012006418935
7,11811,0.0005052318708450622,0.021166709000084667,-0.020661477129239606
8,11811,0.002491910896588682,0.03691474049614766,-0.034422829599558974
9,11811,0.23904978111182423,0.23647447294894589,0.002575308162878348
