bin,n,mean_pred,observed,gap
0,11811,1.359649592014658e-07,0.0019473372280077895,-0.001947201263048588
1,11811,8.377753827994365e-07,0.0033866734400135466,-0.0033858356646307474
2,11811,3.0535095772707363e-06,0.00381000762001524,-0.003806954110437969
3,11810,9.072458940422316e-06,0.006096528365791702,-0.006087455906851279
4,11811,2.4427756103696413e-05,0.009059351452036237,-0.009034923695932541
5,11811,6.454169703848581e-05,0.010583354500042334,-0.010518812803003848
6,11810,0.0001776742709897462,0.014733276883996614,-0.014555602613006868
7,11811,0.0005661601653831756,0.0227753788840911,-0.022209218718707926
8,11811,0.002768871062511671,0.03505207010414021,-0.03228319904162854
9,11811,0.23906795160486594,0.23664380662094658,0.002424144983919352
