bin,n,mean_pred,observed,gap
0,11811,0.03517451,0.0031326729320125305,0.03204183844103053
1,11811,0.082027815,0.004064008128016256,0.07796380715432856
2,11811,0.12984301,0.007874015748031496,0.12196899575041974
3,11810,0.18835935,0.00829805249788315,0.18006129746816604
4,11811,0.2590329,0.012530691728050122,0.246502213373726
5,11811,0.34228343,0.013123359580052493,0.329160068135249
6,11810,0.44299364,0.02201524132091448,0.4209783995787437
7,11811,0.5699155,0.03225806451612903,0.5376574089450221
8,11811,0.7324203,0.05613411226822454,0.6762862130110113
9,11811,0.92570823,0.18465836931673862,0.7410498649934115
