bin,n,mean_pred,observed,gap
0,11811,0.04069146,0.0029633392600118534,0.037728122154086885
1,11811,0.08911861,0.0032173397680128695,0.08590126757423032
2,11811,0.13821451,0.0072813478960291255,0.1309331657634481
3,11810,0.19837722,0.007451312447078747,0.1909259093756599
4,11811,0.27040738,0.011853357040047413,0.25855402163350605
5,11811,0.3549822,0.014732029464058927,0.34025016782063955
6,11810,0.45545968,0.021083827265029637,0.4343758568685
7,11811,0.5816846,0.033358733384133435,0.5483258560018529
8,11811,0.74206,0.056811446956227245,0.6852485587085982
9,11811,0.9287616,0.18533570400474134,0.7434258974433178
