bin,n,mean_pred,observed,gap
0,11811,0.033794295,0.003471340276013885,0.030322954766739334
1,11811,0.07934364,0.004318008636017272,0.07502563067815737
2,11811,0.1260882,0.007789348912031158,0.11829885308763315
3,11810,0.18329155,0.008552074513124472,0.1747394799378643
4,11811,0.25263593,0.011938023876047752,0.24069790213217673
5,11811,0.33587652,0.014054694776056219,0.3218218296723386
6,11810,0.43783575,0.020491109229466554,0.4173446437345532
7,11811,0.5659918,0.03200406400812802,0.5339877548967487
8,11811,0.7317844,0.058081449496232326,0.6737029538278949
9,11811,0.92636013,0.18338836677673356,0.7429717635333251
