bin,n,mean_pred,observed,gap
0,11811,2.3727598e-06,0.0063500127000254,-0.006347639940216323
1,11811,8.002211e-05,0.006096012192024384,-0.006015990082410164
2,11811,0.00069534825,0.006858013716027432,-0.006162665464416438
3,11810,0.0035794268,0.009229466553767994,-0.005650039764111712
4,11811,0.013414804,0.010414020828041656,0.003000783064332383
5,11811,0.03972669,0.014986029972059944,0.024740659485833427
6,11810,0.099859156,0.01685012701100762,0.08300902870350425
7,11811,0.2207222,0.024553382440098213,0.1961688160462299
8,11811,0.44435868,0.040301413936161205,0.4040572627358206
9,11811,0.82535744,0.2084497502328338,0.6169076869009553
