bin,n,mean_pred,observed,gap
0,11811,0.00059741916,0.0029633392600118534,-0.002365920100990625
1,11811,0.0047262534,0.00448734230801795,0.00023891114189888984
2,11811,0.015293818,0.0055880111760223524,0.009705806791154084
3,11810,0.035962228,0.008806096528365791,0.02715613120357734
4,11811,0.07247938,0.010329353992041317,0.06215002816528443
5,11811,0.13098235,0.012530691728050122,0.11845166255528271
6,11810,0.21523756,0.016342082980524978,0.19889547490750603
7,11811,0.32921305,0.025061383456100244,0.3041516695319521
8,11811,0.4961777,0.04521209042418085,0.4509656127179853
9,11811,0.8131134,0.21276775886885108,0.6003456325305325
