bin,n,mean_pred,observed,gap
0,11811,1.3844096e-06,0.002286004572009144,-0.00228462016236622
1,11811,4.8425714e-05,0.006858013716027432,-0.006809588001687604
2,11811,0.0004495318,0.005926678520023707,-0.0054771467210742416
3,11810,0.002404387,0.01100762066045724,-0.00860323355147563
4,11811,0.009649969,0.010837355008043349,-0.001187386301971972
5,11811,0.03149072,0.013292693252053171,0.01819802755645284
6,11810,0.09009971,0.01930567315834039,0.07079403408748633
7,11811,0.20698544,0.026331385996105326,0.1806540578343848
8,11811,0.3993473,0.04097874862416392,0.35836855667368767
9,11811,0.7771059,0.20726441452882904,0.5698415129385171
