,0
card1_code,2853031.8902541175
id_19_code,731199.3891025558
card2_code,521652.9182025045
addr1_code,432690.1277049631
V294,333510.039795056
C1,255119.0094274059
C13,232343.02151947469
dt_hour_assumed,157140.59437140822
DeviceInfo_code,154725.50494873524
V70,149916.38663639873
C14,149024.1581703052
D2,127097.79658614099
id_20_code,119102.31102257967
P_emaildomain_code,114249.04406390339
D1_ref_day,95947.57125100493
id_31_code,92377.46819478273
V258,89389.98542904854
V90,70855.28466926515
amt_log,66290.71397341043
card1_freq,60299.225938402116
R_emaildomain_code,52828.297608047724
D2_ref_day,52027.0853305012
D15_ref_day,47099.54942552745
amt_decile,45993.292820483446
id_30_code,42477.754172846675
id_33_code,38699.27172718197
uid_card1_prior_count_7d,37052.668730817735
uid_card_addr_d1_prior_count,36515.854247152805
D4_ref_day,35506.72593251616
C6,33201.92042855173
D10_ref_day,32569.0109731704
C11,29980.48052034527
uid_card1_prior_count,28777.724359422922
D15,27962.506384424865
uid_card1_prior_count_24h,27264.580546043813
ProductCD_x_card6_freq,26929.68055933714
uid_card_addr_prior_count,25658.19463200122
D3,25558.79614430666
V243,25219.802207916975
card1_x_addr1_freq,24915.538502149284
V91,24891.974966816604
C2,23409.66925674677
uid_card_addr_amt_to_prior_mean,22503.092459581792
P_emaildomain_te,21509.898279741406
uid_card1_amt_to_prior_mean,21498.542101688683
uid_card1_secs_since_prev,20268.610682293773
uid_card_addr_d1_secs_since_prev,19543.698103398085
D8,19418.653573855758
uid_card_addr_d1_prior_amt_mean,19352.182288318872
V189,19036.11854697764
V187,18833.338718533516
dist1,18827.243673473597
uid_card_addr_d1_prior_amt_std,18500.318937443197
card5_code,18489.475903242826
uid_card_addr_prior_amt_std,18181.09759553522
amt_decimal,18024.076336577535
C5,17922.97941043973
M5_code,17268.608215622604
uid_card_addr_d1_amt_to_prior_mean,17007.93808452785
card1_te,16825.276248261333
uid_card_addr_prior_count_7d,16733.033081553876
V312,16515.24251498282
D10,15626.01942319423
V201,15585.911874487996
D4,14919.479727737606
uid_card_addr_secs_since_prev,14886.28281994909
D11_ref_day,14866.592709362507
V310,14529.42273388058
addr1_te,14344.13465064019
D5,14235.99805919081
M6_code,13680.547464683652
dt_dow_assumed,13381.60432344675
V45,13380.286577522755
uid_card1_prior_amt_mean,12698.101878218353
V308,12610.56748727709
id_02,12220.134971477091
C8,12146.339229881763
uid_card_addr_prior_amt_mean,11976.489386059344
V30,11409.49598442763
uid_card1_prior_amt_std,10893.645119406283
ProductCD_x_card4_te,10355.295532867312
V87,10264.680446453393
V317,10179.968437157571
card3_code,10034.50278005004
uid_card_addr_prior_count_24h,9754.125185348094
V44,9688.862556189299
card2_freq,9487.731970697641
V62,9384.37116831541
D1,9356.049126073718
V270,9106.39135619998
C9,7670.5399288237095
V83,7474.528078749776
V313,7428.950813017786
M4_code,7362.323956936598
V156,7242.046285897493
V48,7187.5620697289705
ProductCD_code,6806.791483938694
addr1_freq,6682.74360242486
C4,6418.652084961534
V307,6373.360586106777
V281,6330.557232752442
V257,6290.8157739937305
C12,6113.076912969351
uid_card_addr_d1_prior_count_24h,6027.983336858451
M3_code,5929.307432115078
V99,5642.485359273851
V149,5353.0405413508415
P_emaildomain_x_R_emaildomain_freq,5334.218555234373
DeviceType_x_P_emaildomain_freq,5333.95055360347
V145,5267.179463684559
V315,5160.941408544779
V54,5005.112388804555
id_13_code,4877.998024374247
V67,4845.527398049831
id_09,4628.810949400067
M4_isnull,4580.205696389079
V314,4129.973076120019
V49,3855.2866895124316
D13,3851.858942374587
V78,3849.7727904096246
uid_card_addr_d1_prior_count_7d,3760.370150759816
D11,3735.858623377979
V154,3710.8402416557074
dist2,3590.1432903930545
D12,3525.1536401361227
C10,3509.49320268631
V82,3332.193676158786
V128,3079.014596283436
D6,3053.4324909448624
V102,3047.285802781582
id_05,2982.6959377899766
id_01,2950.275551594794
card3_freq,2871.6311322525144
V75,2786.2429834008217
V20,2751.4928968697786
V165,2743.8631606921554
V86,2695.0607574135065
V53,2628.758802264929
V130,2603.760496325791
V217,2565.9471092373133
V61,2553.127753511071
id_03,2476.4619680047035
V55,2470.349359087646
V127,2453.5178521350026
V309,2437.9266660287976
V266,2415.237100750208
V225,2381.4086711257696
DeviceInfo_freq,2352.2568918913603
V296,2282.452270269394
M2_code,2256.377965003252
V169,2250.785763680935
V170,2224.59777225554
V136,2221.3400931209326
V13,2168.8444458693266
V320,2167.2096989303827
V280,2150.0789660066366
V47,2145.712562531233
M9_code,2133.0033514648676
M8_code,2056.10450142622
id_06,1944.3493525013328
D7,1875.6157707944512
V143,1870.9506929665804
V126,1855.195747077465
id_38_code,1847.1005724221468
V323,1763.774243965745
V77,1703.7707729935646
P_emaildomain_freq,1607.5130578950047
V56,1589.623232319951
V306,1556.9975358843803
id_20_freq,1511.5614104270935
V38,1499.2497063875198
V207,1480.2119766920805
V283,1475.5664129629731
V285,1462.5061186999083
V133,1440.430550403893
card6_code,1435.4739065766335
V209,1421.811153754592
V19,1414.0941083803773
V152,1407.9005256071687
V5,1406.135507106781
V256,1388.3524701297283
id_25_code,1377.915653705597
V124,1363.2436748594046
V37,1300.3844872117043
V76,1274.942409425974
V35,1265.0575036481023
V10,1262.5310508310795
V293,1259.780648894608
V282,1241.364926457405
D14,1204.1566882058978
V12,1188.2741525769234
V24,1171.7314508110285
amt_is_round,1166.4099577963352
D9,1088.456525877118
id_31_freq,1068.3425281271338
V205,1065.0810671448708
V29,1010.7065136730671
V316,971.3872208893299
V105,949.9281056821346
V137,923.9314693063498
M7_code,917.4702462553978
V36,888.916163623333
id_04,883.0260933935642
V261,877.4200066626072
ProductCD_x_card4_freq,875.3871898651123
V16,858.1671948432922
V52,849.3668870478868
V74,822.8686031773686
V66,801.8314356654882
V4,791.2013976946473
V159,781.4384588003159
V95,766.1131607443094
V279,756.9854697212577
id_19_freq,753.6339586302638
V220,748.0526780113578
V231,726.1164117455482
V60,712.659767717123
V291,685.1854584217072
V172,677.4398768544197
V69,666.1533820554614
V96,661.61108084023
R_emaildomain_freq,657.9988017752767
V267,625.7733863592148
V160,611.3035059422255
id_21_code,580.0974273681641
V129,576.7632211595774
V311,570.4632279798388
card5_freq,565.7909449338913
V210,562.2256575971842
V264,543.2562951594591
V223,541.714126214385
V289,530.6197811961174
V178,529.8369847536087
V318,525.6729927808046
V15,522.5546268969774
C3,522.5093040466309
V245,510.3705204427242
V224,493.826646566391
V26,471.6145367771387
V40,468.15449307858944
C7,439.63505406677723
V300,438.78904563188553
V303,437.309774979949
V125,428.65963476896286
V11,413.2980162277818
V139,412.37890319526196
id_17_code,407.6166019439697
V123,402.1385763436556
V23,392.9816463291645
V277,380.4319734200835
DeviceType_code,372.96485264599323
id_15_code,372.10600420832634
V131,370.5474438816309
V203,359.77766600996256
V164,358.9299278408289
V58,356.1413784325123
V228,346.9738410413265
V73,339.68220740556717
V6,337.88137470930815
V2,337.5747055411339
V322,330.1830139160156
V167,328.2883424758911
V171,313.3357561379671
V212,301.57902409136295
V72,300.9051619619131
M7_isnull,297.6926659345627
V39,286.2788237929344
M5_isnull,286.2680129110813
V42,281.6078371927142
V244,279.71156584471464
V81,279.636645168066
V274,277.80938997864723
V234,275.3631978482008
V331,270.66772063076496
V275,263.60668401420116
V135,263.3858799934387
id_16_code,262.42654751241207
M8_isnull,260.4941769838333
V25,255.34958121180534
V221,253.90571235120296
V268,250.3509042263031
V301,245.46482640504837
id_11,243.71372231841087
V106,239.61184468865395
V265,235.8097335845232
V292,235.17241252958775
V263,227.81857904791832
V290,224.45677807927132
V253,215.77065232396126
V271,213.38492925465107
V134,211.9214875549078
V43,210.50894130766392
V216,209.42618080973625
V298,208.00227817893028
V251,206.43359372019768
V239,203.04809707403183
V3,198.43074898421764
V206,195.4327031597495
V235,192.25719161331654
V151,190.8645269870758
V175,190.85534194111824
V46,188.15125839412212
V64,184.99959437549114
V233,182.81620003283024
V304,182.42520162463188
V219,182.25452576577663
V260,182.12487729638815
V259,181.32784381508827
V192,180.30932362377644
id_10,169.3079786002636
V321,164.3849760144949
V94,164.11725141108036
V108,159.66060093045235
V200,158.68928091228008
V194,157.45284128189087
V229,156.11995646357536
V319,154.96312080323696
V79,150.1154982149601
V7,150.06063942611217
V218,143.503590606153
V255,142.74730864167213
V22,138.45995914936066
id_14_code,137.06869888305664
V262,133.54177737236023
id_37_code,133.4180615246296
V109,132.3018660247326
V324,131.43187703192234
V273,125.40739400684834
V85,125.30387466400862
V57,122.05592696368694
V202,120.98948813974857
V173,120.50144177675247
V188,119.42742782831192
V208,117.93087957799435
V193,116.58857893943787
V93,116.4409344792366
V147,111.70045505464077
V276,110.77214358747005
V180,108.90275567770004
V150,103.18556251376867
V222,102.67585127055645
V132,101.30021943151951
V115,101.25125741958618
V59,100.02987441420555
V157,97.4645004272461
V287,96.64798252284527
V332,96.12391020357609
V333,94.47906586527824
V32,93.99653744697571
V92,93.0104391425848
V242,89.20155061036348
V295,86.57530117034912
M6_isnull,85.73263038694859
V97,83.16607622802258
V230,80.84739625453949
D7_isnull,80.77321287989616
V211,77.21112994849682
id_36_code,76.38475873321295
V214,74.45520940423012
V174,73.75974768400192
V199,71.93883669376373
V181,70.97995661199093
V63,69.27869185805321
V204,68.55065356194973
M9_isnull,67.90459156036377
V236,66.89150816202164
V232,66.58730980753899
V34,65.97420752048492
V278,64.63543243706226
V80,63.719833478331566
V100,62.989415019750595
id_18_code,62.59672960639
P_emaildomain_isnull,62.27408255636692
V51,61.26028415560722
V272,60.47537037730217
D8_isnull,59.82429885864258
M1_isnull,57.30459976196289
V33,57.20448563992977
V237,54.84372156858444
id_30_freq,54.78218983113766
id_33_freq,53.70014674961567
V182,49.78706246614456
V84,48.99578094482422
V8,47.48871022462845
V288,46.50136664509773
V163,46.106141835451126
V215,45.45211435854435
V153,42.60092067718506
V248,41.346649408340454
V101,40.19046166539192
V238,40.181296586990356
V284,33.908766090869904
addr2_freq,33.68763077259064
V299,32.26744830608368
V213,30.58948501944542
V339,30.1760456264019
dist2_isnull,27.451296746730804
V158,26.132453247904778
V168,26.05800548195839
V114,24.388989098370075
V116,24.099606789648533
V240,23.795445635914803
card4_code,23.756650686264038
V103,23.648646786808968
V112,22.21518710255623
id_08,21.44416682422161
id_26_code,21.373899459838867
V179,21.011150002479553
V161,20.954273730516434
V144,20.06325078010559
V302,19.885212182998657
V98,19.825388714671135
V166,19.47902502119541
V50,19.397504836320877
id_29_code,18.183336317539215
V17,17.48130403459072
V190,16.299947440624237
V185,15.916540920734406
V246,15.284637227654457
id_12_code,14.98181103169918
V31,14.01970711350441
card5_isnull,13.059200286865234
V186,12.730052545666695
M1_code,12.531900405883789
V226,10.77922174334526
V9,10.615204021334648
V140,10.350935906171799
V71,9.051862828433514
V338,8.37529718875885
V227,7.691395148634911
V155,7.413612142205238
id_28_code,6.48923197388649
V191,6.433819770812988
V286,6.381811946630478
V148,5.87457400560379
V104,5.6522761434316635
D14_isnull,5.584690093994141
dist1_isnull,5.417620941996574
V183,5.374030977487564
V297,5.025446072220802
V184,4.545231983065605
V162,4.265322029590607
V18,3.8515119403600693
V252,3.5001320242881775
id_07,2.7126980274915695
V177,2.0423509776592255
D13_isnull,1.9625910520553589
V250,1.941767007112503
V146,1.5698920041322708
V176,1.2618569731712341
V110,0.8925330191850662
V249,0.8148059993982315
R_emaildomain_isnull,0.6380220055580139
card2_isnull,0.5252289772033691
V111,0.48788899183273315
V254,0.44440700113773346
V336,0.33215901255607605
V21,0.3250100016593933
V329,0.20434600114822388
V198,0.1590529978275299
V335,0.14201800525188446
id_23_code,0.13648100197315216
V325,0.0
addr1_isnull,0.0
V327,0.0
V326,0.0
V328,0.0
V337,0.0
id_24_code,0.0
id_22_code,0.0
V65,0.0
V68,0.0
V334,0.0
V305,0.0
D6_isnull,0.0
D12_isnull,0.0
V1,0.0
V197,0.0
V195,0.0
V196,0.0
V14,0.0
V330,0.0
V27,0.0
V142,0.0
id_27_code,0.0
V241,0.0
id_34_code,0.0
id_32_code,0.0
id_35_code,0.0
V121,0.0
V122,0.0
V138,0.0
V89,0.0
V88,0.0
V41,0.0
V28,0.0
V141,0.0
V117,0.0
V107,0.0
V113,0.0
V247,0.0
V118,0.0
V119,0.0
V120,0.0
addr2_code,0.0
V269,0.0
D9_isnull,0.0
has_identity_record,0.0
