,0
card1_code,3106138.199597344
v_cluster_margin,588967.1792824864
card2_code,528157.2351428047
addr1_code,387195.57366704196
C13,250647.09984876215
v_cluster,238873.25
DeviceInfo_code,156605.16688764095
id_19_code,156080.91699185967
C1,142535.43717637658
dt_hour_assumed,138283.5371214524
id_20_code,127695.15063063055
D2,119129.28445187956
vpca_g12_0,118045.06305731088
v_cluster_dist,115167.82640189677
vpca_g10_0,111000.9473355338
P_emaildomain_code,96507.7279189676
id_31_code,95910.43331153691
D1_ref_day,83997.4560425505
M4_code,76704.3172069192
card1_freq,63658.95374814421
C5,58208.47916095704
C14,57650.64675516635
vpca_g03_2,57386.5370510146
uid_card1_prior_count_7d,56183.74401450902
amt_decile,54384.53263477236
C11,48805.6098061502
D2_ref_day,46274.72265059501
vpca_g02_2,44055.97073148936
amt_log,43203.72907767445
R_emaildomain_code,42316.77807094157
id_30_code,40003.2517137602
D15_ref_day,37735.809244424105
uid_card1_prior_count_24h,32509.87469445914
vpca_g09_1,31785.545023351908
C2,30260.679273590446
D15,29957.631885059178
id_33_code,28770.930961430073
D10_ref_day,28060.320422306657
vpca_g13_0,27553.81087807566
vpca_g05_1,27488.445052929223
uid_card1_amt_to_prior_mean,27317.606828391552
vpca_g01_3,26812.923351421952
D4_ref_day,26037.27150298655
C6,23731.532042086124
uid_card1_prior_count,23329.194891564548
vpca_g03_3,19938.983333535492
D8,17999.968366593122
uid_card_addr_amt_to_prior_mean,17983.016362950206
D3,17807.89373409003
uid_card_addr_prior_count,17488.776110440493
