,0
card1_code,2833133.7687625736
v_cluster_dist,836201.2649429888
card2_code,616707.2496564835
addr1_code,387921.4214186743
C14,301411.7416080907
id_19_code,166621.60079970956
DeviceInfo_code,153024.6206927225
dt_hour_assumed,139929.82146783173
id_20_code,133075.7093083933
V243,128499.48587848246
M4_isnull,119118.3642885685
C1,118857.68666516244
V70,116900.61792597175
V91,106140.70965822041
P_emaildomain_code,105807.4243073538
vpca_g12_0,87159.11308459938
id_31_code,84992.89633354545
D1_ref_day,74431.63723389804
card1_freq,71904.51381900162
C13,65558.98442529142
D2,60882.089252226055
amt_decile,58519.131173975766
V258,55639.22104296088
D2_ref_day,52226.92373889685
C11,48258.07393025607
D15_ref_day,44937.25820428133
amt_log,41490.54040624201
id_30_code,38975.30886477232
V283,38443.8335095644
R_emaildomain_code,37790.957496114075
uid_card1_prior_count_7d,36349.01350779086
id_33_code,34498.541144274175
uid_card1_prior_count,33471.799889706075
C5,32728.37208454311
D4_ref_day,29177.65710133314
card1_x_addr1_freq,26410.52471667528
uid_card1_amt_to_prior_mean,25381.20423988998
D4,24014.364287227392
D10_ref_day,23402.80706769973
D15,23284.168449558318
card2_freq,23259.080163232982
C6,21963.63161984831
uid_card1_prior_count_24h,20100.05977359414
addr1_te,20034.945958964527
V29,19991.351772487164
vpca_g09_1,18651.24207368493
uid_card_addr_amt_to_prior_mean,17961.973990514874
M5_code,17062.380190730095
card5_code,16544.81336506456
uid_card_addr_d1_prior_amt_mean,15873.630005538464
