,0
num__C14,3.515617
num__C11,3.2562988
num__D1,3.1543698
num__D1_ref_day,2.9081306
num__D10_ref_day,1.8734107
num__D10,1.7710029
cat__ProductCD_code_2,1.6624371
num__C7,1.620752
num__C8,1.4969834
cat__ProductCD_code_4,1.3697343
num__V168,1.3246936
num__C4,1.2234707
num__R_emaildomain_freq,0.9670076
num__C12,0.9284446
num__C10,0.8932284
cat__dt_hour_assumed_9,0.8320257
cat__dt_hour_assumed_8,0.79082
num__C6,0.7554127
num__V294,0.7463423
num__V203,0.705866
cat__id_23_code_1,0.6915171
cat__ProductCD_code_0,0.6776707
num__V179,0.6608109
num__R_emaildomain_isnull,0.6566447
cat__dt_hour_assumed_7,0.65208554
num__V332,0.64791936
num__C3,0.6474938
num__V189,0.62578505
cat__amt_decile_9,0.6179116
num__V199,0.6164869
cat__id_23_code_2,0.60547036
num__V267,0.60114497
num__V200,0.58178663
num__V201,0.5802245
cat__DeviceType_code_-1,0.5780328
num__V48,0.5727359
cat__dt_hour_assumed_10,0.5557826
cat__card4_code_0,0.51837337
num__V49,0.51332337
num__V147,0.49260652
cat__DeviceType_code_0,0.48857972
num__C9,0.48283
num__V18,0.47941428
num__V338,0.4742228
num__D4_ref_day,0.461918
num__V153,0.44988996
num__D4,0.44958338
num__V291,0.4471111
cat__id_15_code_0,0.44355857
num__V268,0.4411783
