,0
num__C11,4.3925433
num__C14,4.222137
num__D1,2.973934
num__D1_ref_day,2.7722006
num__D10_ref_day,2.4243069
num__D10,2.3037758
cat__ProductCD_code_4,1.8142705
num__C8,1.8102137
num__C7,1.7737648
cat__ProductCD_code_2,1.5322212
num__C4,1.4594562
num__vpca_g04_5,1.3075963
num__R_emaildomain_isnull,1.1783907
num__C1,0.9981473
num__R_emaildomain_freq,0.9660986
cat__dt_hour_assumed_8,0.9381691
cat__dt_hour_assumed_9,0.92712396
cat__DeviceType_code_-1,0.8896915
cat__amt_decile_9,0.71191776
num__vpca_g04_6,0.69997007
num__vpca_g03_6,0.6971987
num__C12,0.6536816
cat__dt_hour_assumed_10,0.63319474
num__C3,0.6188183
cat__id_23_code_1,0.61778915
num__vpca_g01_2,0.5940336
num__C6,0.58960986
cat__DeviceType_code_0,0.5871799
cat__dt_hour_assumed_7,0.5615269
num__C9,0.5316372
cat__ProductCD_code_0,0.5287122
cat__v_cluster_3,0.50346863
cat__id_22_code_0,0.48183396
num__vpca_g01_3,0.48166418
cat__id_15_code_1,0.47967982
cat__ProductCD_code_1,0.4648097
cat__id_22_code_1,0.46012017
num__v_cluster_margin,0.45750752
cat__id_15_code_0,0.42881995
cat__id_23_code_2,0.40611628
cat__card4_code_0,0.40234843
cat__amt_decile_8,0.37884748
cat__dt_hour_assumed_14,0.37568387
cat__card6_code_0,0.3668958
num__id_31_freq,0.3600196
cat__v_cluster_2,0.35611653
cat__id_24_code_0,0.35600445
num__vpca_g08_0,0.35041937
cat__dt_hour_assumed_15,0.34625658
num__id_20_freq,0.3458286
