,0
num__C14,3.4436288
num__C11,3.1992078
num__D1,3.1868727
num__D1_ref_day,2.9752674
num__D10_ref_day,1.9328746
num__D10,1.8257518
num__C7,1.5941176
num__C8,1.5329351
cat__ProductCD_code_4,1.4348572
cat__ProductCD_code_2,1.3238492
num__C4,1.1651418
num__V168,0.97985333
num__R_emaildomain_freq,0.9538727
num__C12,0.9169088
cat__dt_hour_assumed_9,0.8908164
num__C10,0.85906386
num__V203,0.823636
num__R_emaildomain_isnull,0.79569125
cat__dt_hour_assumed_8,0.77017456
num__C6,0.73059636
cat__v_cluster_3,0.72513634
cat__id_23_code_1,0.7215293
num__V294,0.7116099
num__V201,0.6993126
num__V200,0.6784045
cat__amt_decile_9,0.6738653
cat__id_23_code_2,0.66650397
num__V189,0.6484257
num__C3,0.6328196
cat__DeviceType_code_-1,0.5902056
num__V199,0.58359516
cat__dt_hour_assumed_7,0.58148444
num__V179,0.5765078
num__V267,0.56965524
cat__dt_hour_assumed_10,0.5544765
num__V48,0.54600304
num__V332,0.5453195
num__V31,0.5345138
num__V187,0.53414935
num__D4_ref_day,0.5274242
num__D4,0.5236556
num__V188,0.5118745
num__v_cluster_margin,0.508283
cat__card4_code_0,0.50078094
num__V49,0.48007
cat__id_15_code_0,0.47259742
cat__DeviceType_code_0,0.47051844
num__V18,0.47044653
num__C9,0.46325
num__V177,0.45862216
