n,base_rate,pr_auc,pr_auc_lift,roc_auc,brier,precision@1%,recall@1%,f1@1%,n_flagged,threshold,f1_oracle,f1_oracle_threshold,f1_oracle_precision,f1_oracle_recall,fold,model,fit_seconds,n_train
78739,0.027343501949478658,0.3362818001124725,12.298417398539698,0.8211421452520692,0.10874487459659576,0.6307106598984772,0.23084068741291222,0.33798027881672904,788,0.9830589890480042,0.3887068313587093,0.9062237739562988,0.4250275633958104,0.358104969809568,0,linear,17.724563001000206,78739
78739,0.04197411701952019,0.4383349931056753,10.442983062677085,0.846765508652964,0.14313076436519623,0.8718274111675127,0.20786686838124055,0.3356950891766431,788,0.994663655757904,0.44263148758896026,0.9129510521888733,0.5191368078175895,0.3857791225416036,1,linear,36.869132806999914,157478
78739,0.03939597912089308,0.4335601677236755,11.005188280591387,0.8670090209193975,0.16331081092357635,0.8109137055837563,0.2059961315280464,0.32853470437017995,788,0.9959149360656738,0.44179320318148946,0.9463849067687988,0.502880658436214,0.3939393939393939,2,linear,53.4611271269996,236217
78738,0.03708501612944195,0.3958114139375991,10.673081887198178,0.852131521610692,0.14741548895835876,0.8020304568527918,0.21643835616438356,0.34088457389428267,788,0.9872451424598694,0.40067128172855043,0.9404885768890381,0.5170546832701678,0.3270547945205479,3,linear,69.36195137699997,314956
78738,0.0383423505804059,0.4721934962508097,12.315194272208101,0.8792517894729419,0.1635904312133789,0.8692893401015228,0.22689632328585624,0.3598634095087996,788,0.9945613145828247,0.4651067323481117,0.957319974899292,0.6114409066378845,0.37528983106989067,4,linear,83.83632105500055,393694
78739,0.027343501949478658,0.3357431249649409,12.278717100146066,0.822230485189071,0.11082284897565842,0.6370558375634517,0.23316302833255922,0.34138048282896977,788,0.9858212471008301,0.38956342030483077,0.9260626435279846,0.43888242142025613,0.3502090106827682,0,linear+unsup,25.09470255299948,78739
78739,0.04197411701952019,0.4400353712224891,10.483493220782925,0.8435000637962382,0.14472712576389313,0.8743654822335025,0.20847201210287444,0.3366723674566333,788,0.9947651028633118,0.4457282913165266,0.9191724061965942,0.5288741171582884,0.38517397881996973,1,linear+unsup,42.77926692600067,157478
78739,0.03939597912089308,0.43440971512678955,11.026752598120014,0.8691411761598058,0.1640687733888626,0.815989847715736,0.2072856221792392,0.33059125964010283,788,0.9958077669143677,0.4371024734982332,0.943988561630249,0.48358092259577795,0.39877498388136684,2,linear+unsup,63.66838627699963,236217
78738,0.03708501612944195,0.383141855502097,10.331446376206888,0.8514888032154869,0.14546778798103333,0.7715736040609137,0.20821917808219179,0.32793959007551243,788,0.9906729459762573,0.3840102062513289,0.9568472504615784,0.5064498037016265,0.30924657534246575,3,linear+unsup,86.20575230899976,314956
78738,0.0383423505804059,0.47527645532168616,12.395600377316637,0.8794236278176776,0.16442085802555084,0.866751269035533,0.22623385226896323,0.3588127134226424,788,0.99507737159729,0.4631694388594407,0.9368776082992554,0.516721044045677,0.4196753892017224,4,linear+unsup,98.4648717150003,393694
